gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,65,1,2,1,2,0,2,0,2,2,0,1,2,105.05,6914.95,0
0,0,1,0,70,1,2,1,0,2,2,2,2,2,2,1,0,110.55761860658636,7702.435966788812,1
1,0,1,1,43,1,2,2,1,1,1,1,1,1,2,0,3,24.25,1077.95,0
0,0,1,0,72,1,2,1,2,2,2,0,2,0,2,0,0,100.65,7334.05,0
0,0,1,0,63,1,2,1,0,2,0,0,0,2,0,1,0,97.73332384339234,6134.545080057708,1
0,1,0,0,18,1,0,0,0,2,0,0,0,0,0,1,1,49.85,865.75,0
1,0,1,0,50,1,2,1,0,1,0,1,1,2,0,0,2,102.02060673824406,5072.308388339387,1
0,0,0,0,32,1,2,1,2,0,2,2,2,2,1,1,0,109.55,3608.0,0
1,0,1,1,5,1,0,2,1,1,1,1,1,1,0,0,3,19.45,86.05,0
0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,1,3,69.9,497.3,0
0,0,0,0,42,1,0,0,2,2,0,2,0,2,1,1,3,67.7,2882.25,0
0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.17179701309958,85.17179701309958,1
0,0,0,0,6,1,0,1,0,0,2,0,0,0,0,0,0,77.6080883205304,497.08260084666796,1
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1074.3,1
1,0,1,1,72,1,0,1,2,0,2,2,2,2,2,1,1,104.9,7559.55,0
1,0,0,1,14,1,0,2,1,1,1,1,1,1,0,0,3,19.95,268.4,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,44.1,44.1,1
1,0,0,0,19,1,2,1,0,2,0,0,2,2,0,1,2,99.95,1931.75,1
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,20.75,0
0,1,0,0,71,1,2,1,0,2,0,0,2,2,0,1,1,99.65,6951.15,0
1,0,1,1,72,1,2,1,0,0,0,0,0,2,2,1,1,84.5,6130.85,0
0,0,0,0,13,1,0,0,0,0,2,0,0,0,0,1,2,70.1836896543799,939.714147182384,1
1,0,1,1,9,1,0,1,0,0,2,2,2,2,0,0,2,103.1,970.45,0
0,0,0,0,24,1,2,1,0,2,2,0,2,2,0,1,2,104.15,2494.65,0
0,0,1,0,30,0,1,0,0,2,0,1,0,0,0,1,2,53.338560756670915,1623.0231606708792,1
0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,50.24835233195453,50.24835233195453,1
0,0,0,0,40,1,2,1,0,2,2,0,2,0,0,1,0,93.4,3756.4,0
0,0,0,0,9,1,0,1,2,0,0,0,0,0,0,1,1,74.25,639.65,1
0,0,0,0,63,1,0,2,1,1,1,1,1,1,2,1,3,20.6,1298.7,0
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.079451004549046,25.079451004549046,1
0,0,0,0,60,1,2,1,0,0,2,2,2,2,1,1,2,107.49590963317124,6426.809132427079,1
0,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.5,1222.65,0
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,2,74.5,217.45,0
1,0,0,0,18,1,2,1,0,0,0,0,2,0,0,0,0,84.3,1537.9,0
1,1,1,0,20,1,0,1,0,2,0,0,0,0,0,1,2,73.65,1463.5,1
0,0,0,0,18,1,0,2,1,1,1,1,1,1,0,0,3,19.65,391.7,0
0,1,1,1,32,1,2,1,0,0,2,0,2,0,0,1,3,91.35,2896.55,0
1,0,1,1,54,1,2,0,0,0,2,0,0,2,2,0,1,63.35,3409.1,0
1,0,0,1,41,1,0,1,2,2,2,2,2,2,2,1,2,111.15,4507.15,0
0,1,1,0,72,1,2,1,2,2,2,2,2,2,2,1,0,114.85,8317.95,0
0,0,0,0,61,1,2,1,0,2,2,0,2,2,1,1,2,103.95,6423.0,0
1,0,0,1,27,1,0,2,1,1,1,1,1,1,2,0,1,19.7,509.3,0
1,0,0,0,22,1,2,1,2,0,0,0,2,2,0,1,2,100.75,2095.0,1
1,0,1,1,60,1,0,0,2,2,0,2,2,2,0,1,1,79.05,4663.4,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.849300122681527,19.849300122681527,1
1,0,1,1,71,1,2,0,2,2,2,2,2,2,2,1,3,91.25,6589.6,0
1,0,0,0,24,1,2,1,0,0,2,0,2,0,0,1,3,89.85,2165.05,1
1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.85,1901.0,0
0,0,0,1,31,1,2,1,0,0,0,0,1,0,0,1,1,84.56713494288834,2703.362860387573,1
0,1,1,0,53,1,2,1,0,0,0,0,2,2,1,1,1,95.85,5016.25,0
0,0,0,0,22,1,0,0,2,0,0,0,0,0,0,1,2,49.8,1049.05,0
1,0,1,1,43,1,2,1,2,0,2,2,0,0,1,1,1,91.25,4013.8,0
1,0,1,1,34,1,0,1,0,2,2,0,2,0,0,1,2,89.85,3091.75,0
0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.52303866947956,79.52303866947956,1
1,0,1,1,23,1,0,2,1,1,1,1,1,1,1,0,3,19.65,436.9,0
0,0,1,0,71,1,0,2,1,1,1,1,1,1,2,0,1,19.1,1372.45,0
0,0,1,0,22,1,2,0,2,0,0,2,2,2,0,1,2,79.2,1742.75,1
1,0,0,0,68,1,2,1,2,2,2,2,2,2,1,1,1,117.2,8035.95,0
0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,4107.25,0
0,0,0,1,4,1,0,2,1,1,1,1,1,1,1,1,3,20.4,84.75,0
1,1,1,0,51,1,2,1,2,0,2,0,2,0,0,1,0,93.8,4750.95,1
0,0,0,0,13,1,1,1,1,2,0,0,2,0,0,1,2,97.08297810802095,1242.3671819123413,1
1,0,0,0,3,1,0,1,0,0,2,2,2,0,0,1,3,88.35,262.05,1
0,0,0,0,17,1,1,1,0,0,0,0,2,0,0,1,2,88.85712321888207,1553.9113223629067,1
0,0,0,0,38,1,0,0,0,1,0,1,0,1,0,0,2,61.451560458645424,2498.7841724959158,1
1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,6654.1,0
1,0,1,0,28,1,2,0,1,0,0,0,0,0,0,0,1,50.35161013758763,1336.5154632268063,1
1,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.65,109.3,0
0,0,0,0,70,0,1,0,2,0,2,2,2,2,2,1,0,58.35,4214.25,0
0,0,0,0,3,1,0,1,1,1,0,0,0,0,0,1,2,79.1710720403726,246.71025478610227,1
1,0,1,0,42,1,2,1,0,2,2,0,2,0,0,1,0,95.25,3959.35,1
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,2,46.36818305831066,192.60373995986527,1
1,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,3,49.95,107.1,0
0,0,0,0,45,1,0,0,2,0,2,2,2,2,2,0,0,81.65,3618.7,0
0,1,0,0,62,1,2,1,0,0,0,0,2,0,1,0,2,84.45,4959.15,0
0,0,0,0,68,1,2,0,2,2,2,2,2,2,2,1,2,88.15,6148.45,0
1,0,0,0,69,1,0,2,1,1,1,1,1,1,2,1,0,19.3,1447.9,0
0,0,0,0,15,1,2,1,2,0,2,0,0,0,0,1,1,84.35,1302.65,0
0,0,0,0,26,1,0,0,0,2,2,0,0,0,1,1,3,56.05,1553.2,0
0,0,0,0,51,0,1,0,1,1,0,0,0,0,0,1,0,57.21719525682878,2955.7314247499103,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.816162763074345,84.28005795998325,1
0,0,1,0,72,1,2,2,1,1,1,1,1,1,2,0,0,24.65,1830.05,0
0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,1,2,85.96057167819963,179.91890782007465,1
1,1,0,0,26,1,2,1,0,0,0,0,2,2,0,1,2,93.6,2404.1,0
1,0,0,0,3,1,0,0,0,0,0,2,0,0,0,1,3,50.5,147.75,0
0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,3,50.45,50.45,1
1,1,0,0,69,1,0,2,1,1,1,1,1,1,2,0,1,20.3,1356.3,0
1,0,1,1,30,1,0,2,1,1,1,1,1,1,2,0,3,21.25,711.9,0
0,0,1,0,60,0,1,0,0,2,2,2,2,2,2,0,1,60.8,3603.45,0
0,0,0,0,66,1,2,1,0,2,0,1,2,1,0,1,1,103.96551181482378,6889.71197209599,1
0,0,0,0,54,1,2,1,0,2,2,2,2,2,0,0,2,111.1,6014.85,1
0,0,0,0,64,1,2,2,1,1,1,1,1,1,1,1,0,24.4,1601.2,0
1,0,0,0,16,1,0,2,1,1,1,1,1,1,0,1,3,19.7,342.4,1
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.45217118013669,20.45217118013669,1
0,0,0,0,33,1,0,1,0,0,0,0,0,0,0,1,0,70.4,2406.1,0
0,0,1,1,31,1,0,2,1,1,1,1,1,1,0,1,3,19.55,658.95,1
1,0,1,1,37,1,2,0,2,0,2,2,0,0,2,1,1,62.8,2278.75,0
0,0,0,0,4,1,2,1,0,1,0,0,0,0,0,0,0,77.84964254965625,305.65537532286095,1
0,0,0,0,36,1,0,0,2,2,2,2,2,2,1,0,0,85.85,3003.55,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,2,68.67583981854834,68.67583981854834,1
0,0,0,0,3,1,0,1,2,2,0,0,0,0,0,1,2,79.1,246.5,1
0,0,1,1,4,1,2,1,0,1,0,0,2,2,0,0,2,99.24461970049286,385.0663961189656,1
0,0,0,0,30,1,2,1,0,0,2,0,2,2,0,0,2,100.45,3096.9,0
0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,51.14587518774883,114.44961176536462,1
0,0,1,1,53,1,2,1,2,2,2,2,0,2,2,1,0,104.05,5566.4,0
1,0,0,0,7,1,0,0,0,0,2,2,2,0,0,0,0,64.3,445.95,0
0,0,1,1,56,1,2,0,2,0,0,0,2,0,1,0,0,65.2,3512.15,0
1,0,0,0,36,1,0,2,1,1,1,1,1,1,1,1,1,20.35,695.85,0
0,0,0,0,30,1,0,1,0,0,0,2,2,0,0,0,2,85.15,2555.9,1
0,0,1,0,67,1,2,1,1,2,0,0,0,2,0,1,1,97.88581151600452,6586.014689487254,1
0,0,0,0,70,1,2,1,2,2,2,2,2,2,2,1,1,111.95,7795.95,0
0,0,0,0,50,1,0,1,0,2,0,2,2,2,2,1,3,100.2,5038.45,0
1,0,0,0,3,1,0,1,0,0,2,2,2,2,0,1,2,98.7,293.65,1
0,1,1,0,70,1,2,1,0,2,0,2,2,2,2,1,0,104.45,7349.35,0
1,0,0,0,39,1,2,0,0,0,0,2,0,0,2,1,1,53.85,2200.7,0
0,0,0,0,13,1,2,1,1,0,0,0,2,1,0,1,2,99.8398473929889,1307.3549635508439,1
0,1,0,0,44,1,0,1,0,0,0,0,1,1,0,1,2,87.82915946756805,3849.6952678587436,1
0,0,1,0,68,0,1,0,2,0,2,0,2,2,1,1,2,54.4,3723.65,0
1,0,1,0,9,1,0,1,0,2,2,0,0,0,0,1,2,79.9,741.7,1
1,1,1,0,10,1,2,1,0,0,0,0,0,2,0,0,2,85.55,851.75,1
0,1,0,0,38,1,0,2,1,1,1,1,1,1,2,0,3,20.2,735.9,0
0,0,0,0,14,1,1,1,0,2,0,0,2,1,0,1,1,97.0554332941967,1420.1779396914692,1
1,0,1,1,43,1,0,0,2,0,2,2,2,2,2,1,1,79.15,3566.6,0
0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,2,35.0,35.0,0
1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,2,49.85,49.85,0
1,0,1,1,36,1,0,0,2,0,2,0,0,2,1,1,1,63.7,2188.5,0
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35,0
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,0,24.65,1710.15,0
0,0,0,0,39,0,1,0,0,0,2,0,2,2,0,1,2,50.75,2011.4,1
0,0,0,0,68,1,2,0,0,2,2,0,2,2,2,1,2,80.65,5330.2,0
1,0,1,0,67,0,1,0,2,2,0,2,0,2,2,1,0,50.95,3521.7,0
0,0,1,0,71,1,2,0,2,2,2,2,2,2,2,0,0,87.95,6365.35,0
1,0,1,1,38,1,2,2,1,1,1,1,1,1,2,0,1,25.05,963.95,0
0,1,0,0,32,1,0,1,0,0,0,0,2,2,0,0,2,90.95,2897.95,0
0,0,0,0,13,1,2,1,0,0,0,0,2,1,0,1,2,94.60778863185215,1291.4306838381253,1
1,0,1,1,4,0,1,0,2,0,0,0,2,0,0,0,1,38.55,156.1,0
0,0,1,1,72,1,2,0,2,2,2,2,0,2,2,0,0,80.85,5824.75,0
0,0,1,1,30,1,2,2,1,1,1,1,1,1,2,1,3,25.1,789.55,0
1,0,1,0,31,1,2,0,0,0,2,2,2,2,1,1,3,79.3,2484.0,0
0,0,0,0,27,1,0,0,0,2,0,2,0,0,0,1,3,56.15,1439.35,0
0,1,0,0,49,1,2,1,0,0,2,0,0,2,0,1,1,90.85,4515.85,1
0,0,1,0,64,1,0,2,1,1,1,1,1,1,2,0,1,19.45,1225.65,0
1,1,0,0,44,1,2,1,0,1,1,1,2,2,0,1,0,107.73731943677687,4694.184182480675,1
0,0,1,1,34,1,2,2,1,1,1,1,1,1,1,1,1,25.6,917.15,0
0,1,0,0,28,1,2,1,0,0,0,2,2,2,0,0,1,100.33008283690101,2864.236798970709,1
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,80.28064257939762,80.28064257939762,1
1,0,0,0,8,1,1,1,0,0,0,0,0,2,0,1,1,88.2983571424493,735.4521539525344,1
0,0,0,0,60,1,0,1,2,0,2,2,2,2,0,1,0,104.95,6236.75,0
0,1,1,0,72,1,2,1,2,2,2,2,2,2,2,1,1,116.75,8277.05,0
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,19.4,19.4,0
0,0,0,0,45,1,2,1,0,0,2,0,0,2,0,1,1,89.3,4192.15,0
0,0,0,0,63,1,0,1,0,0,2,2,2,0,1,1,1,90.05,5817.0,0
1,0,0,0,13,0,1,0,0,0,2,0,0,0,0,0,1,47.62875522795418,605.5817304604263,1
0,0,1,1,66,1,0,0,0,0,0,2,0,0,1,1,1,49.4,3251.85,0
1,1,0,0,7,1,2,1,0,0,0,0,2,0,0,1,2,84.8,546.95,1
1,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.8,973.45,1
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,49.01221740670626,49.01221740670626,1
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,20.25,109.8,0
0,0,1,0,13,1,0,0,0,0,0,0,0,0,1,0,2,43.8,592.65,0
0,0,1,1,3,1,2,0,0,2,2,0,2,0,0,1,0,69.15,235.0,0
0,1,0,0,20,1,2,1,0,0,0,0,2,1,0,0,2,93.29939884336406,1967.4815430975457,1
1,0,0,0,64,1,2,1,0,2,0,2,2,2,1,1,1,105.65,6903.1,1
0,0,0,0,54,1,0,1,2,2,0,0,2,2,1,1,1,100.05,5299.65,0
0,0,0,0,5,1,1,1,0,0,0,0,2,0,0,1,2,85.70315041688917,475.13933400208805,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.40215262013578,44.40215262013578,1
1,0,0,1,4,1,2,1,0,2,0,0,2,2,0,1,2,101.7,364.55,1
0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,75.7,75.7,1
1,0,0,0,24,1,0,1,0,2,2,0,0,2,0,1,2,89.55,2187.15,0
0,1,0,0,4,1,2,1,0,0,2,0,1,0,0,1,1,85.0721095476819,345.20131682605205,1
1,1,0,0,13,1,1,1,0,0,0,0,0,0,0,1,2,75.98885320097237,1035.9283082026207,1
1,0,1,0,3,1,0,2,1,1,1,1,1,1,0,0,0,20.0,49.65,0
1,1,1,0,14,1,0,2,1,1,1,1,1,1,1,0,3,19.65,228.65,0
0,0,0,0,22,0,1,0,2,1,1,0,1,1,0,1,1,68.7153740769985,1511.6332397520791,1
1,0,0,0,10,1,0,1,0,0,0,0,0,0,0,1,2,70.0,740.0,1
1,0,1,1,70,1,0,1,2,2,2,2,2,0,2,1,1,101.1,6994.8,0
0,0,0,0,41,1,2,0,0,2,0,0,0,0,1,1,1,56.3,2364.0,0
1,0,0,0,53,1,0,0,0,0,2,0,0,2,1,1,2,61.1,3357.9,0
1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,0,2,20.0,185.4,0
1,0,1,1,50,0,1,0,2,0,0,0,2,0,0,1,1,39.45,2021.35,0
0,0,0,0,43,0,1,0,0,0,2,0,2,2,0,1,0,49.05,2076.2,1
0,0,1,1,23,1,0,2,1,1,1,1,1,1,2,0,0,20.4,478.75,0
1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,1181.75,0
1,0,1,0,56,1,2,1,0,0,2,0,2,2,0,0,2,102.16820004531385,5744.780585875923,1
0,0,0,0,4,0,1,0,2,2,0,0,0,0,0,1,2,33.65,137.85,1
1,0,1,1,69,1,2,1,0,2,2,0,2,2,2,1,2,105.0,7297.75,0
0,1,0,0,28,1,2,1,0,2,2,0,2,2,0,1,2,106.15,3152.5,1
1,0,0,0,22,1,0,1,2,0,0,1,2,2,0,1,1,99.98468044769837,2330.025025095122,1
0,0,0,0,18,1,2,1,0,0,0,2,2,2,0,1,0,99.85,1776.95,1
0,0,0,0,7,1,0,1,0,1,0,1,1,0,0,1,2,85.12214596771193,607.9570694441189,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,42.9,42.9,1
0,0,1,0,33,1,2,0,0,1,0,0,0,2,0,1,2,86.64507176071571,2996.877181122638,1
1,1,1,0,57,0,1,0,0,0,0,0,2,2,0,1,2,44.85,2572.95,1
1,1,1,0,44,1,2,1,0,2,0,0,0,2,1,0,3,88.4,3912.9,1
0,0,0,0,35,0,1,0,0,0,2,0,0,0,0,0,1,33.99775567002508,1147.2158356526024,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,45.962368979242584,83.62194284899361,1
1,0,1,0,71,1,2,0,2,2,0,2,0,0,2,0,0,65.15,4681.75,0
1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,42.80033130063901,125.63705459513324,1
1,1,1,0,34,1,0,1,0,0,0,0,0,0,0,0,1,71.55,2427.35,0
0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,44.75,148.05,0
0,1,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,78.85,292.8,1
0,0,1,1,28,1,2,1,0,0,0,2,0,2,1,1,2,90.45,2509.25,0
0,0,0,0,63,1,2,1,0,0,1,0,1,2,0,1,1,94.4719459162402,6126.10093971808,1
1,0,0,0,15,0,0,0,0,1,1,0,0,0,0,0,0,41.025241654299414,597.1920740095898,1
0,1,0,0,46,1,2,0,0,0,2,2,0,2,1,1,1,69.1,3255.35,0
0,0,1,1,43,0,1,0,2,0,2,2,2,2,1,1,1,60.4,2640.55,0
0,0,0,0,16,0,1,0,2,0,0,0,2,0,0,1,2,38.9,664.4,0
1,1,1,0,72,1,2,1,0,2,0,0,2,2,1,1,1,97.25,7133.1,0
0,0,1,1,2,1,0,1,0,2,0,0,0,0,0,1,0,73.55,145.4,1
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,244.1,0
1,0,0,0,39,1,2,1,2,2,0,0,2,2,0,1,2,106.4,4040.65,0
0,0,1,1,38,1,0,2,1,1,1,1,1,1,1,0,1,19.6,763.1,0
1,0,0,0,12,1,0,1,0,0,2,0,2,2,1,0,2,95.7,1184.0,0
0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,2,77.53946848834221,222.03595230301644,1
0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,840.1,1
0,0,0,0,23,1,0,1,0,2,0,2,0,0,0,1,3,79.1,1783.75,0
0,0,0,0,9,1,0,1,0,0,0,0,1,1,0,0,1,90.05248890837511,863.7629866900502,1
0,0,0,0,64,1,2,0,2,2,2,1,2,2,2,0,0,102.42595169038924,6452.294136796933,1
0,0,0,0,23,1,2,1,0,2,0,0,0,0,0,1,2,79.15,1676.95,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,71.03413510507646,71.03413510507646,1
0,0,0,0,38,1,0,1,0,1,2,2,0,0,0,1,1,84.2733043505739,3265.9973045243732,1
0,0,0,0,13,1,0,1,1,0,0,0,0,1,0,0,2,83.64958531529355,1095.3390147641508,1
0,0,1,0,63,1,2,1,0,0,0,0,2,0,0,1,1,89.7700426693865,5686.663036600913,1
0,0,1,1,8,1,0,2,1,1,1,1,1,1,0,0,1,21.05,139.75,0
0,1,1,0,72,1,2,1,2,2,0,0,2,2,1,1,0,106.85,7677.4,0
1,0,1,0,9,1,0,0,0,0,2,0,2,2,0,1,3,70.05,564.4,0
0,0,0,1,12,1,2,1,0,1,1,0,0,0,0,1,2,83.75191432509448,915.9769588043504,1
0,0,1,0,1,1,0,0,2,2,0,0,0,0,0,1,3,53.55,53.55,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45.46534569541906,45.46534569541906,1
1,0,0,0,26,1,2,1,2,2,0,0,2,0,0,1,1,92.4,2349.8,0
0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.59796944616035,79.59796944616035,1
0,1,0,0,15,1,0,1,0,0,0,0,2,2,0,1,2,91.5,1400.3,0
1,0,1,0,59,1,2,1,0,0,0,0,0,2,1,0,2,85.55,5084.65,1
0,0,0,0,21,1,2,0,1,0,0,1,1,2,0,1,1,81.93550012255966,1736.429336838025,1
0,0,0,0,14,1,0,1,0,1,0,0,0,1,0,0,2,82.87966498163804,1184.2951628201563,1
1,0,1,0,68,0,1,0,2,0,2,0,2,2,2,1,0,54.1,3794.5,0
0,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,1,116.4,8543.25,0
0,0,0,0,56,0,1,0,2,2,2,2,0,0,2,0,0,45.05,2560.1,0
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,2,80.8,80.8,1
0,0,0,0,6,0,1,0,2,2,0,2,0,2,0,0,1,50.95,307.6,0
1,0,1,1,17,1,2,1,0,0,0,0,2,2,0,1,2,92.55,1515.1,1
1,0,0,0,36,1,2,1,0,0,0,1,2,2,0,0,0,99.78512355523347,3483.4120437581137,1
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,40.06888089452668,40.06888089452668,1
1,1,1,0,70,1,0,1,2,2,2,0,2,2,2,0,1,105.35,7511.9,0
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.25,19.25,1
0,0,1,1,59,1,2,1,0,2,0,2,0,2,0,1,0,96.65,5580.8,0
0,1,0,0,8,1,2,1,0,0,0,0,0,0,0,1,2,76.35227964142193,606.7719756892324,1
1,0,0,0,42,1,2,1,0,0,2,1,1,1,0,0,1,99.45855016250084,4217.381063950774,1
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,45.872568540872486,195.46899473387023,1
0,0,0,0,9,1,0,1,0,0,0,0,0,2,0,1,2,79.77757891110231,721.5247497725169,1
